# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-09-03 16:49:45 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09506000 VERDE RIVER NEAR CAMP VERDE, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09506000
#            TS   parameter     Description
#          6767       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	6767_00060	6767_00060_cd
5s	15s	20d	6s	14n	10s
USGS	09506000	2020-01-01 00:00	MST	358	A
USGS	09506000	2020-01-01 00:15	MST	358	A
USGS	09506000	2020-01-01 00:30	MST	358	A
USGS	09506000	2020-01-01 00:45	MST	358	A
USGS	09506000	2020-01-01 01:00	MST	358	A
USGS	09506000	2020-01-01 01:15	MST	355	A
USGS	09506000	2020-01-01 01:30	MST	355	A
USGS	09506000	2020-01-01 01:45	MST	355	A
USGS	09506000	2020-01-01 02:00	MST	352	A
USGS	09506000	2020-01-01 02:15	MST	352	A
USGS	09506000	2020-01-01 02:30	MST	352	A
USGS	09506000	2020-01-01 02:45	MST	352	A
USGS	09506000	2020-01-01 03:00	MST	352	A
USGS	09506000	2020-01-01 03:15	MST	350	A
USGS	09506000	2020-01-01 03:30	MST	350	A
USGS	09506000	2020-01-01 03:45	MST	350	A
USGS	09506000	2020-01-01 04:00	MST	347	A
USGS	09506000	2020-01-01 04:15	MST	347	A
USGS	09506000	2020-01-01 04:30	MST	347	A
USGS	09506000	2020-01-01 04:45	MST	347	A
USGS	09506000	2020-01-01 05:00	MST	347	A
USGS	09506000	2020-01-01 05:15	MST	347	A
USGS	09506000	2020-01-01 05:30	MST	347	A
USGS	09506000	2020-01-01 05:45	MST	344	A
USGS	09506000	2020-01-01 06:00	MST	344	A
USGS	09506000	2020-01-01 06:15	MST	344	A
USGS	09506000	2020-01-01 06:30	MST	342	A
USGS	09506000	2020-01-01 06:45	MST	342	A
USGS	09506000	2020-01-01 07:00	MST	342	A
USGS	09506000	2020-01-01 07:15	MST	342	A
USGS	09506000	2020-01-01 07:30	MST	342	A
USGS	09506000	2020-01-01 07:45	MST	342	A
USGS	09506000	2020-01-01 08:00	MST	339	A
USGS	09506000	2020-01-01 08:15	MST	339	A
USGS	09506000	2020-01-01 08:30	MST	339	A
USGS	09506000	2020-01-01 08:45	MST	339	A
USGS	09506000	2020-01-01 09:00	MST	336	A
USGS	09506000	2020-01-01 09:15	MST	336	A
USGS	09506000	2020-01-01 09:30	MST	336	A
USGS	09506000	2020-01-01 09:45	MST	336	A
USGS	09506000	2020-01-01 10:00	MST	336	A
USGS	09506000	2020-01-01 10:15	MST	336	A
USGS	09506000	2020-01-01 10:30	MST	336	A
USGS	09506000	2020-01-01 10:45	MST	336	A
USGS	09506000	2020-01-01 11:00	MST	334	A
USGS	09506000	2020-01-01 11:15	MST	336	A
USGS	09506000	2020-01-01 11:30	MST	334	A
USGS	09506000	2020-01-01 11:45	MST	334	A
USGS	09506000	2020-01-01 12:00	MST	331	A
USGS	09506000	2020-01-01 12:15	MST	331	A
USGS	09506000	2020-01-01 12:30	MST	331	A
USGS	09506000	2020-01-01 12:45	MST	331	A
USGS	09506000	2020-01-01 13:00	MST	331	A
USGS	09506000	2020-01-01 13:15	MST	331	A
USGS	09506000	2020-01-01 13:30	MST	331	A
USGS	09506000	2020-01-01 13:45	MST	331	A
USGS	09506000	2020-01-01 14:00	MST	331	A
USGS	09506000	2020-01-01 14:15	MST	329	A
USGS	09506000	2020-01-01 14:30	MST	329	A
USGS	09506000	2020-01-01 14:45	MST	329	A
USGS	09506000	2020-01-01 15:00	MST	329	A
USGS	09506000	2020-01-01 15:15	MST	326	A
USGS	09506000	2020-01-01 15:30	MST	326	A
USGS	09506000	2020-01-01 15:45	MST	326	A
USGS	09506000	2020-01-01 16:00	MST	326	A
USGS	09506000	2020-01-01 16:15	MST	326	A
USGS	09506000	2020-01-01 16:30	MST	326	A
USGS	09506000	2020-01-01 16:45	MST	326	A
USGS	09506000	2020-01-01 17:00	MST	326	A
USGS	09506000	2020-01-01 17:15	MST	326	A
USGS	09506000	2020-01-01 17:30	MST	323	A
USGS	09506000	2020-01-01 17:45	MST	323	A
USGS	09506000	2020-01-01 18:00	MST	323	A
USGS	09506000	2020-01-01 18:15	MST	321	A
USGS	09506000	2020-01-01 18:30	MST	321	A
USGS	09506000	2020-01-01 18:45	MST	321	A
USGS	09506000	2020-01-01 19:00	MST	321	A
USGS	09506000	2020-01-01 19:15	MST	321	A
USGS	09506000	2020-01-01 19:30	MST	321	A
USGS	09506000	2020-01-01 19:45	MST	321	A
USGS	09506000	2020-01-01 20:00	MST	321	A
USGS	09506000	2020-01-01 20:15	MST	318	A
USGS	09506000	2020-01-01 20:30	MST	318	A
USGS	09506000	2020-01-01 20:45	MST	318	A
USGS	09506000	2020-01-01 21:00	MST	318	A
USGS	09506000	2020-01-01 21:15	MST	316	A
USGS	09506000	2020-01-01 21:30	MST	316	A
USGS	09506000	2020-01-01 21:45	MST	316	A
USGS	09506000	2020-01-01 22:00	MST	316	A
USGS	09506000	2020-01-01 22:15	MST	316	A
USGS	09506000	2020-01-01 22:30	MST	316	A
USGS	09506000	2020-01-01 22:45	MST	316	A
USGS	09506000	2020-01-01 23:00	MST	316	A
USGS	09506000	2020-01-01 23:15	MST	316	A
USGS	09506000	2020-01-01 23:30	MST	316	A
USGS	09506000	2020-01-01 23:45	MST	313	A
USGS	09506000	2020-01-02 00:00	MST	313	A
USGS	09506000	2020-01-02 00:15	MST	313	A
USGS	09506000	2020-01-02 00:30	MST	313	A
USGS	09506000	2020-01-02 00:45	MST	311	A
USGS	09506000	2020-01-02 01:00	MST	311	A
USGS	09506000	2020-01-02 01:15	MST	311	A
USGS	09506000	2020-01-02 01:30	MST	311	A
USGS	09506000	2020-01-02 01:45	MST	311	A
USGS	09506000	2020-01-02 02:00	MST	311	A
USGS	09506000	2020-01-02 02:15	MST	311	A
USGS	09506000	2020-01-02 02:30	MST	311	A
USGS	09506000	2020-01-02 02:45	MST	311	A
USGS	09506000	2020-01-02 03:00	MST	311	A
USGS	09506000	2020-01-02 03:15	MST	311	A
USGS	09506000	2020-01-02 03:30	MST	308	A
USGS	09506000	2020-01-02 03:45	MST	308	A
USGS	09506000	2020-01-02 04:00	MST	308	A
USGS	09506000	2020-01-02 04:15	MST	308	A
USGS	09506000	2020-01-02 04:30	MST	308	A
USGS	09506000	2020-01-02 04:45	MST	308	A
USGS	09506000	2020-01-02 05:00	MST	308	A
USGS	09506000	2020-01-02 05:15	MST	306	A
USGS	09506000	2020-01-02 05:30	MST	308	A
USGS	09506000	2020-01-02 05:45	MST	306	A
USGS	09506000	2020-01-02 06:00	MST	306	A
USGS	09506000	2020-01-02 06:15	MST	306	A
USGS	09506000	2020-01-02 06:30	MST	306	A
USGS	09506000	2020-01-02 06:45	MST	306	A
USGS	09506000	2020-01-02 07:00	MST	306	A
USGS	09506000	2020-01-02 07:15	MST	306	A
USGS	09506000	2020-01-02 07:30	MST	303	A
USGS	09506000	2020-01-02 07:45	MST	303	A
USGS	09506000	2020-01-02 08:00	MST	303	A
USGS	09506000	2020-01-02 08:15	MST	303	A
USGS	09506000	2020-01-02 08:30	MST	301	A
USGS	09506000	2020-01-02 08:45	MST	303	A
USGS	09506000	2020-01-02 09:00	MST	301	A
USGS	09506000	2020-01-02 09:15	MST	301	A
USGS	09506000	2020-01-02 09:30	MST	301	A
USGS	09506000	2020-01-02 09:45	MST	301	A
USGS	09506000	2020-01-02 10:00	MST	301	A
USGS	09506000	2020-01-02 10:15	MST	301	A
USGS	09506000	2020-01-02 10:30	MST	301	A
USGS	09506000	2020-01-02 10:45	MST	301	A
USGS	09506000	2020-01-02 11:00	MST	301	A
USGS	09506000	2020-01-02 11:15	MST	301	A
USGS	09506000	2020-01-02 11:30	MST	301	A
USGS	09506000	2020-01-02 11:45	MST	301	A
USGS	09506000	2020-01-02 12:00	MST	301	A
USGS	09506000	2020-01-02 12:15	MST	299	A
USGS	09506000	2020-01-02 12:30	MST	299	A
USGS	09506000	2020-01-02 12:45	MST	299	A
USGS	09506000	2020-01-02 13:00	MST	299	A
USGS	09506000	2020-01-02 13:15	MST	299	A
USGS	09506000	2020-01-02 13:30	MST	299	A
USGS	09506000	2020-01-02 13:45	MST	299	A
USGS	09506000	2020-01-02 14:00	MST	299	A
USGS	09506000	2020-01-02 14:15	MST	299	A
USGS	09506000	2020-01-02 14:30	MST	296	A
USGS	09506000	2020-01-02 14:45	MST	296	A
USGS	09506000	2020-01-02 15:00	MST	296	A
USGS	09506000	2020-01-02 15:15	MST	296	A
USGS	09506000	2020-01-02 15:30	MST	296	A
USGS	09506000	2020-01-02 15:45	MST	296	A
USGS	09506000	2020-01-02 16:00	MST	296	A
USGS	09506000	2020-01-02 16:15	MST	296	A
USGS	09506000	2020-01-02 16:30	MST	296	A
USGS	09506000	2020-01-02 16:45	MST	296	A
USGS	09506000	2020-01-02 17:00	MST	296	A
USGS	09506000	2020-01-02 17:15	MST	296	A
USGS	09506000	2020-01-02 17:30	MST	294	A
USGS	09506000	2020-01-02 17:45	MST	294	A
USGS	09506000	2020-01-02 18:00	MST	294	A
USGS	09506000	2020-01-02 18:15	MST	294	A
USGS	09506000	2020-01-02 18:30	MST	294	A
USGS	09506000	2020-01-02 18:45	MST	294	A
USGS	09506000	2020-01-02 19:00	MST	291	A
USGS	09506000	2020-01-02 19:15	MST	291	A
USGS	09506000	2020-01-02 19:30	MST	291	A
USGS	09506000	2020-01-02 19:45	MST	291	A
USGS	09506000	2020-01-02 20:00	MST	291	A
USGS	09506000	2020-01-02 20:15	MST	291	A
USGS	09506000	2020-01-02 20:30	MST	291	A
USGS	09506000	2020-01-02 20:45	MST	291	A
USGS	09506000	2020-01-02 21:00	MST	291	A
USGS	09506000	2020-01-02 21:15	MST	291	A
USGS	09506000	2020-01-02 21:30	MST	291	A
USGS	09506000	2020-01-02 21:45	MST	291	A
USGS	09506000	2020-01-02 22:00	MST	291	A
USGS	09506000	2020-01-02 22:15	MST	291	A
USGS	09506000	2020-01-02 22:30	MST	291	A
USGS	09506000	2020-01-02 22:45	MST	291	A
USGS	09506000	2020-01-02 23:00	MST	289	A
USGS	09506000	2020-01-02 23:15	MST	289	A
USGS	09506000	2020-01-02 23:30	MST	289	A
USGS	09506000	2020-01-02 23:45	MST	289	A
USGS	09506000	2020-01-03 00:00	MST	289	A
USGS	09506000	2020-01-03 00:15	MST	289	A
USGS	09506000	2020-01-03 00:30	MST	289	A
USGS	09506000	2020-01-03 00:45	MST	287	A
USGS	09506000	2020-01-03 01:00	MST	287	A
USGS	09506000	2020-01-03 01:15	MST	287	A
USGS	09506000	2020-01-03 01:30	MST	287	A
USGS	09506000	2020-01-03 01:45	MST	287	A
USGS	09506000	2020-01-03 02:00	MST	287	A
USGS	09506000	2020-01-03 02:15	MST	287	A
USGS	09506000	2020-01-03 02:30	MST	287	A
USGS	09506000	2020-01-03 02:45	MST	287	A
USGS	09506000	2020-01-03 03:00	MST	287	A
USGS	09506000	2020-01-03 03:15	MST	287	A
USGS	09506000	2020-01-03 03:30	MST	287	A
USGS	09506000	2020-01-03 03:45	MST	284	A
USGS	09506000	2020-01-03 04:00	MST	284	A
USGS	09506000	2020-01-03 04:15	MST	284	A
USGS	09506000	2020-01-03 04:30	MST	284	A
USGS	09506000	2020-01-03 04:45	MST	284	A
USGS	09506000	2020-01-03 05:00	MST	284	A
USGS	09506000	2020-01-03 05:15	MST	284	A
USGS	09506000	2020-01-03 05:30	MST	284	A
USGS	09506000	2020-01-03 05:45	MST	282	A
